step, arrivals_sum, infringement_sum 
2,0, 1
502,0, 5
1002,0, 9
1502,0, 16
2002,1, 19
2502,1, 28
3002,1, 33
3502,1, 38
4002,1, 42
4502,1, 48
5002,1, 50
5502,1, 57
6002,1, 58
6502,1, 62
7002,1, 64
7502,1, 72
8002,2, 76
8502,2, 84
9002,2, 90
9502,2, 90
10002,2, 91
10502,2, 97
11002,2, 104
11502,3, 107
12002,3, 111
12502,4, 113
13002,5, 118
13502,6, 130
14002,6, 146
14502,7, 158
15002,7, 175
15502,7, 187
16002,8, 200
16502,8, 217
17002,10, 235
17502,11, 253
18002,11, 262
18502,12, 269
19002,15, 278
19502,15, 285
20002,16, 294
20502,16, 304
21002,17, 308
21502,20, 317
22002,23, 324
22502,23, 336
23002,25, 346
23502,27, 354
24002,28, 366
24502,31, 380
25002,32, 393
25502,34, 405
26002,37, 419
26502,39, 435
27002,41, 443
27502,42, 455
28002,44, 468
28502,46, 484
29002,51, 496
29502,53, 509
30002,55, 523
30502,56, 538
31002,56, 548
31502,56, 561
32002,57, 574
32502,59, 588
33002,59, 597
33502,59, 614
34002,59, 627
34502,59, 643
35002,59, 657
35502,59, 670
36002,61, 682
36502,63, 693
37002,65, 704
37502,66, 716
38002,66, 725
38502,66, 729
39002,67, 733
39502,68, 736
40002,68, 738
40502,69, 743
41002,69, 745
41502,69, 746
42002,69, 747
42502,70, 748
43002,70, 749
43502,70, 753
44002,70, 758
44502,73, 760
45002,73, 763
45502,75, 764
46002,77, 769
46502,78, 769
47002,81, 769
47502,81, 770
48002,82, 772
48502,82, 774
49002,83, 775
49502,85, 779
50002,85, 783
50502,87, 785
51002,87, 788
51502,90, 789
52002,91, 790
52502,93, 792
53002,93, 792
53502,94, 792
54002,94, 794
54502,94, 796
55002,95, 796
55502,95, 797
56002,95, 797
56502,96, 797
57002,97, 797
57502,98, 797
58002,99, 797
58502,99, 797
59002,99, 800
59502,103, 800
60002,104, 800
60502,104, 800
61002,104, 801
61502,106, 802
62002,107, 802
62502,108, 802
63002,108, 803
63502,109, 803
64002,110, 803
64502,111, 803
65002,113, 803
65502,115, 803
66002,120, 803
66502,121, 805
67002,121, 805
67502,122, 805
68002,123, 805
68502,125, 805
69002,125, 806
69502,129, 807
70002,131, 807
70502,131, 807
71002,133, 807
71502,134, 808
72002,136, 808
72502,139, 809
73002,140, 809
73502,141, 809
74002,144, 810
74502,146, 810
75002,147, 811
75502,149, 811
76002,156, 812
76502,160, 812
77002,161, 812
77502,164, 812
78002,171, 812
78502,176, 812
79002,178, 812
79502,182, 812
80002,185, 813
80502,188, 813
81002,192, 813
81502,194, 815
82002,198, 816
82502,202, 816
83002,205, 816
83502,209, 817
84002,211, 817
84502,215, 818
85002,219, 820
85502,222, 822
86002,226, 824
86502,231, 825
87002,236, 827
87502,236, 833
88002,236, 841
88502,238, 842
89002,244, 845
89502,247, 845
90002,247, 847
90502,249, 851
91002,249, 851
91502,249, 852
92002,253, 852
92502,254, 855
93002,256, 856
93502,259, 856
94002,260, 857
94502,266, 858
95002,269, 858
95502,273, 858
96002,277, 858
96502,281, 858
97002,284, 859
97502,290, 859
98002,291, 860
98502,296, 860
99002,300, 860
99502,302, 860
100002,310, 861
100502,315, 861
101002,319, 861
101502,322, 863
102002,327, 864
102502,332, 864
103002,337, 864
103502,340, 866
104002,342, 868
104502,347, 869
105002,349, 869
105502,352, 869
106002,355, 873
106502,360, 874
107002,361, 874
107502,368, 875
108002,374, 875
108502,381, 875
109002,383, 876
109502,390, 876
110002,395, 877
110502,398, 880
111002,400, 880
111502,404, 880
112002,410, 881
112502,413, 883
113002,418, 883
113502,424, 884
114002,429, 885
114502,434, 886
115002,440, 886
115502,441, 886
116002,445, 887
116502,450, 887
117002,452, 887
117502,456, 887
118002,463, 888
118502,474, 888
119002,482, 888
119502,489, 888
120002,493, 888
120502,497, 888
121002,498, 889
121502,499, 890
122002,499, 890
122502,506, 892
123002,510, 892
123502,514, 893
124002,518, 895
124502,530, 897
125002,542, 898
125502,553, 898
126002,563, 900
126502,570, 900
127002,577, 902
127502,585, 902
128002,592, 903
128502,600, 903
129002,608, 906
129502,614, 909
130002,623, 909
130502,628, 910
131002,637, 913
131502,645, 914
132002,654, 915
132502,658, 917
133002,665, 917
133502,674, 917
134002,677, 917
134502,683, 917
135002,693, 917
135502,707, 917
136002,712, 918
136502,716, 918
137002,720, 919
137502,733, 920
138002,746, 922
138502,753, 922
139002,767, 922
139502,779, 923
140002,792, 924
140502,799, 925
141002,805, 927
141502,812, 932
142002,819, 933
142502,831, 935
143002,843, 940
143502,857, 940
144002,870, 944
144502,886, 945
145002,898, 947
145502,911, 948
146002,935, 949
146502,952, 949
147002,970, 950
147502,990, 952
148002,1005, 954
148502,1023, 956
149002,1041, 957
149502,1056, 957
150002,1071, 959
150502,1084, 960
151002,1100, 961
151502,1115, 964
152002,1127, 967
152502,1144, 968
153002,1158, 970
153502,1173, 974
154002,1187, 976
154502,1203, 979
155002,1219, 980
155502,1234, 984
156002,1254, 985
156502,1267, 985
157002,1282, 987
157502,1299, 988
158002,1317, 989
158502,1337, 991
159002,1356, 992
159502,1385, 994
160002,1402, 997
160502,1423, 998
161002,1435, 998
161502,1455, 998
162002,1469, 999
162502,1494, 1000
163002,1513, 1004
163502,1541, 1004
164002,1563, 1007
164502,1584, 1010
165002,1610, 1014
165502,1630, 1019
166002,1654, 1019
166502,1672, 1022
167002,1694, 1023
167502,1714, 1024
168002,1736, 1025
168502,1755, 1026
169002,1767, 1029
169502,1782, 1030
170002,1801, 1031
170502,1819, 1033
171002,1839, 1033
171502,1861, 1033
172002,1884, 1033
172502,1897, 1036
173002,1920, 1036
173502,1939, 1038
174002,1961, 1042
174502,1984, 1045
175002,2003, 1049
175502,2026, 1053
176002,2047, 1053
176502,2069, 1055
177002,2093, 1055
177502,2122, 1056
178002,2147, 1057
178502,2175, 1060
179002,2200, 1063
179502,2223, 1063
180002,2250, 1065
180502,2272, 1067
181002,2298, 1069
181502,2315, 1070
182002,2329, 1074
182502,2350, 1076
183002,2368, 1078
183502,2381, 1079
184002,2402, 1080
184502,2420, 1080
185002,2447, 1081
185502,2480, 1081
186002,2514, 1083
186502,2539, 1084
187002,2566, 1085
187502,2602, 1088
188002,2632, 1090
188502,2657, 1097
189002,2687, 1099
189502,2719, 1103
190002,2750, 1105
190502,2781, 1105
191002,2808, 1106
191502,2838, 1108
192002,2869, 1109
192502,2901, 1110
193002,2927, 1111
193502,2953, 1112
194002,2980, 1113
194502,3006, 1114
195002,3028, 1118
195502,3064, 1118
196002,3095, 1121
196502,3123, 1121
197002,3155, 1122
197502,3187, 1122
