step, arrivals_sum, infringement_sum, reward 
2,0, 1, -680.3959007263184
502,0, 13, -310255.67651987076
1002,0, 15, -286060.38578772545
1502,0, 21, -274915.0782020092
2002,0, 24, -278018.48508906364
2502,0, 27, -279480.0613465309
3002,0, 31, -283669.72692489624
3502,0, 34, -265923.0076994896
4002,0, 36, -253079.18822407722
4502,0, 37, -262802.89255189896
5002,0, 38, -288741.68145513535
5502,0, 44, -278035.18925762177
6002,0, 49, -311775.6122045517
6502,0, 52, -295956.18831920624
7002,0, 55, -309327.0559220314
7502,0, 56, -307944.5953011513
8002,0, 61, -294234.1758527756
8502,0, 65, -310989.10735988617
9002,0, 68, -278379.4958515167
9502,0, 72, -298151.16363716125
10002,0, 74, -284802.82015514374
10502,0, 76, -278893.22280216217
11002,0, 82, -312467.12874269485
11502,0, 86, -315139.841966629
12002,0, 89, -291122.85655879974
12502,0, 95, -308010.44976854324
13002,0, 99, -303444.5438299179
13502,0, 101, -298595.5691151619
14002,0, 106, -313478.861076355
14502,0, 115, -284947.3788666725
15002,0, 116, -300787.44606924057
15502,0, 119, -292568.6476831436
16002,0, 123, -299354.76582193375
16502,0, 126, -279949.6440310478
17002,0, 131, -295478.37984371185
17502,0, 136, -301742.3697543144
18002,0, 142, -291905.22417640686
18502,0, 148, -285630.94456005096
19002,0, 149, -312483.14020204544
19502,0, 156, -313961.0336513519
20002,0, 163, -299551.9455149174
20502,0, 167, -289168.80033016205
21002,0, 175, -282473.9871442318
21502,0, 180, -290981.4524650574
22002,0, 192, -298559.39780163765
22502,0, 203, -295552.14263033867
23002,0, 213, -289956.32763051987
23502,0, 220, -303191.986276865
24002,0, 228, -301729.25539016724
24502,0, 232, -300105.6375553608
25002,0, 239, -290091.5300655365
25502,0, 247, -298491.14805698395
26002,0, 258, -286112.2450942993
26502,0, 264, -284344.3195631504
27002,0, 266, -284990.50467944145
27502,0, 273, -283368.3219885826
28002,0, 281, -282568.4765985012
28502,0, 289, -292896.5704693794
29002,0, 294, -292716.20492744446
29502,0, 302, -292478.5255917311
30002,0, 305, -287607.75259256363
30502,0, 313, -288344.28657221794
31002,0, 322, -287125.99071502686
31502,0, 325, -298499.2167162895
32002,0, 328, -290508.9219379425
32502,0, 333, -289876.6352362633
33002,0, 345, -295054.4382750988
33502,0, 352, -283325.25826120377
34002,0, 367, -294166.4131760597
34502,0, 374, -289257.604511261
35002,0, 390, -233341.39461934566
35502,1, 422, -252465.15661001205
36002,1, 457, -284820.49906539917
36502,1, 483, -253974.38187158108
37002,1, 513, -244394.45912194252
37502,1, 540, -231376.46068930626
38002,1, 573, -230383.55696487427
38502,1, 603, -235856.6293491125
39002,1, 629, -220611.34773802757
39502,1, 649, -215331.7331647873
40002,1, 669, -225777.62635493279
40502,1, 685, -220348.9495472908
41002,1, 707, -202425.8568994999
41502,1, 725, -193510.31952762604
42002,1, 734, -206516.93746566772
42502,1, 756, -196979.59161281586
43002,1, 781, -198968.16150557995
43502,1, 798, -194273.33518981934
44002,1, 817, -189807.57548689842
44502,1, 832, -186636.53724634647
45002,1, 850, -189864.7370762825
45502,1, 869, -198325.57202994823
46002,1, 891, -184155.15755152702
46502,1, 905, -182080.8956553936
47002,1, 915, -171772.5370708704
47502,2, 933, -175628.41077172756
48002,2, 954, -183305.67963624
48502,2, 968, -177402.3220832348
49002,2, 980, -187421.21454453468
49502,2, 999, -193018.3229894638
50002,2, 1018, -194435.0955171585
50502,2, 1039, -189752.209587574
51002,2, 1057, -183544.62342357635
51502,2, 1070, -199085.34210264683
52002,2, 1083, -200736.0334494114
52502,2, 1097, -173821.4307485819
53002,2, 1121, -188789.32839918137
53502,2, 1139, -169554.04129981995
54002,2, 1155, -179221.96248543262
54502,2, 1170, -195152.06684947014
55002,2, 1178, -183962.57752156258
55502,2, 1190, -181042.7404487133
56002,3, 1201, -168902.13632154465
56502,3, 1212, -176972.0032966137
57002,3, 1224, -172189.89613366127
57502,3, 1240, -170532.86767339706
58002,4, 1254, -168359.0972906351
58502,4, 1262, -184433.04260659218
59002,4, 1276, -187251.3563696146
59502,4, 1284, -168018.19215738773
60002,4, 1293, -171397.98666012287
60502,4, 1305, -168195.87531244755
61002,4, 1318, -160681.98729503155
61502,4, 1329, -164472.98326277733
62002,4, 1333, -157997.22334825993
62502,4, 1344, -158868.428494215
63002,4, 1355, -169662.46965491772
63502,4, 1365, -166886.0354079008
64002,4, 1372, -170605.59064102173
64502,4, 1385, -175767.5579304695
65002,4, 1393, -147466.0891250372
65502,4, 1403, -167097.60680282116
