step, arrivals_sum, infringement_sum 
2,0, 1
502,0, 6
1002,0, 7
1502,0, 9
2002,0, 13
2502,0, 16
3002,0, 23
3502,0, 26
4002,0, 32
4502,0, 40
5002,0, 42
5502,0, 43
6002,0, 50
6502,0, 52
7002,0, 55
7502,0, 55
8002,0, 58
8502,0, 64
9002,0, 67
9502,0, 73
10002,0, 75
10502,0, 78
11002,0, 83
11502,0, 89
12002,0, 90
12502,0, 97
13002,0, 105
13502,0, 110
14002,0, 112
14502,0, 118
15002,0, 120
15502,0, 125
16002,0, 132
16502,0, 138
17002,0, 149
17502,0, 160
18002,0, 179
18502,0, 199
19002,0, 214
19502,0, 236
20002,0, 247
20502,0, 257
21002,0, 270
21502,0, 281
22002,0, 299
22502,0, 313
23002,0, 328
23502,0, 343
24002,0, 357
24502,0, 377
25002,0, 395
25502,0, 409
26002,0, 420
26502,0, 435
27002,0, 457
27502,0, 464
28002,0, 472
28502,0, 482
29002,0, 485
29502,0, 489
30002,0, 495
30502,0, 500
31002,0, 507
31502,0, 517
32002,0, 525
32502,0, 533
33002,0, 547
33502,0, 559
34002,0, 566
34502,0, 578
35002,0, 589
35502,0, 602
36002,0, 611
36502,0, 622
37002,0, 632
37502,0, 643
38002,0, 654
38502,0, 662
39002,0, 673
39502,0, 681
40002,0, 686
40502,1, 693
41002,1, 701
41502,1, 709
42002,1, 718
42502,2, 723
43002,2, 731
43502,2, 736
44002,2, 740
44502,2, 745
45002,3, 747
45502,3, 750
46002,3, 751
46502,3, 752
47002,3, 753
47502,3, 754
48002,3, 754
48502,4, 754
49002,4, 754
49502,4, 765
50002,4, 781
50502,4, 801
51002,4, 815
51502,4, 826
52002,4, 833
52502,4, 835
53002,6, 836
53502,10, 836
54002,10, 836
54502,10, 838
55002,10, 839
55502,12, 839
56002,12, 840
56502,15, 840
57002,17, 840
57502,18, 840
58002,21, 841
58502,21, 853
59002,21, 873
59502,21, 889
60002,21, 902
60502,21, 915
61002,21, 919
61502,21, 924
62002,21, 931
62502,21, 939
63002,21, 945
63502,21, 947
64002,21, 949
64502,21, 950
65002,21, 953
65502,24, 955
66002,28, 961
66502,35, 962
67002,42, 966
67502,46, 968
68002,52, 970
68502,57, 972
69002,60, 974
69502,65, 979
70002,69, 980
70502,75, 981
71002,79, 981
71502,82, 981
72002,85, 981
72502,91, 981
73002,96, 981
73502,103, 982
74002,110, 982
74502,112, 982
75002,118, 984
75502,120, 985
76002,128, 989
76502,132, 992
77002,137, 992
77502,142, 992
78002,148, 992
78502,152, 992
79002,157, 993
79502,163, 993
80002,166, 997
80502,168, 998
81002,175, 1000
81502,179, 1003
82002,186, 1005
82502,194, 1011
83002,199, 1015
83502,203, 1018
84002,208, 1019
84502,212, 1024
85002,216, 1026
85502,221, 1027
86002,225, 1032
86502,228, 1032
87002,234, 1032
87502,241, 1032
88002,247, 1033
88502,253, 1034
89002,263, 1035
89502,270, 1036
90002,279, 1036
90502,289, 1038
91002,300, 1038
91502,310, 1040
92002,315, 1042
92502,317, 1042
93002,331, 1043
93502,340, 1044
94002,349, 1045
94502,355, 1047
95002,360, 1048
95502,371, 1049
96002,381, 1050
96502,390, 1051
97002,400, 1054
97502,407, 1058
98002,416, 1061
98502,423, 1065
99002,436, 1067
99502,452, 1070
100002,462, 1073
100502,470, 1077
101002,480, 1078
101502,490, 1080
102002,500, 1082
102502,510, 1086
103002,521, 1088
103502,533, 1090
104002,544, 1091
104502,551, 1091
105002,559, 1093
105502,568, 1093
106002,581, 1094
106502,589, 1094
107002,601, 1095
107502,609, 1099
108002,615, 1101
108502,629, 1104
109002,638, 1106
109502,643, 1109
110002,657, 1113
110502,664, 1115
111002,673, 1120
111502,681, 1123
112002,691, 1127
112502,706, 1129
113002,711, 1130
113502,719, 1135
114002,724, 1143
114502,737, 1145
115002,747, 1146
115502,757, 1147
116002,768, 1151
116502,775, 1151
117002,781, 1155
117502,792, 1156
118002,801, 1157
118502,814, 1158
119002,823, 1159
119502,834, 1160
120002,844, 1162
120502,854, 1164
121002,873, 1167
121502,881, 1168
122002,895, 1172
122502,907, 1176
123002,919, 1178
123502,930, 1181
124002,940, 1184
