step, arrivals_sum, infringement_sum, reward 
2,0, 1, -597.1983909606934
502,0, 11, -281145.1312909126
1002,0, 15, -233499.49451193213
1502,0, 19, -243991.438185215
2002,0, 26, -248738.92084991932
2502,0, 28, -256445.72620379925
3002,0, 31, -263814.71961313486
3502,0, 36, -246090.21690315008
4002,0, 39, -243697.22242498398
4502,0, 45, -271447.25460368395
5002,0, 52, -258394.92354512215
5502,0, 57, -268372.80803239346
6002,0, 64, -262768.2314465642
6502,0, 74, -264840.5359003246
7002,0, 77, -226116.28338438272
7502,0, 77, -222558.56495583057
8002,0, 81, -232534.9130000919
8502,0, 85, -229329.841006279
9002,0, 87, -264608.1420722008
9502,0, 90, -268402.4070536494
10002,0, 93, -250339.535928756
10502,0, 98, -252260.35588169098
11002,0, 103, -249192.1167179942
11502,0, 107, -256943.0480057299
12002,0, 113, -250310.0166080296
12502,0, 120, -262861.3895741701
13002,0, 126, -253400.55954647064
13502,0, 126, -241610.23064273596
14002,0, 136, -260709.91105175018
14502,0, 143, -278749.21265363693
15002,0, 148, -249300.51609039307
15502,0, 150, -264158.1095331311
16002,0, 154, -240630.37150543928
16502,0, 157, -214406.51943536103
17002,0, 163, -262620.5266340971
17502,0, 166, -241072.6374823451
18002,0, 171, -249339.669531703
18502,0, 175, -249207.01700782776
19002,0, 182, -251964.35333633423
19502,0, 186, -256897.0047569871
20002,0, 192, -232079.66541475058
20502,0, 198, -244671.56848534942
21002,0, 205, -254461.52645632625
21502,0, 209, -260792.70566999912
22002,0, 209, -259883.54439729452
22502,0, 214, -248739.88933879137
23002,0, 218, -238468.06218323112
23502,0, 219, -228404.43734008074
24002,0, 220, -219055.29160772264
24502,0, 222, -230236.27707508206
25002,0, 230, -261602.24708628654
25502,0, 231, -232857.06064406037
26002,0, 236, -235491.28908088803
26502,0, 242, -246016.0966692567
27002,0, 244, -244311.7482831478
27502,0, 248, -244808.870462209
28002,0, 251, -256840.934740901
28502,0, 254, -233417.39979052544
29002,0, 255, -245427.42788249254
29502,0, 255, -245234.22742968798
30002,0, 262, -250333.39223498106
30502,0, 264, -268266.0915492177
31002,0, 267, -242890.6383214295
31502,0, 275, -206169.4156846255
32002,0, 276, -227029.7374547124
32502,0, 281, -238580.90158385038
33002,0, 282, -237458.53101319075
33502,0, 288, -254239.95977073908
34002,0, 289, -266764.6683216095
34502,0, 296, -267674.83167761564
35002,0, 301, -265080.8964047134
35502,0, 309, -277867.7220993042
36002,0, 317, -244095.329182446
36502,0, 323, -220584.3320644796
37002,0, 325, -228764.15302985907
37502,0, 330, -231749.58764089644
38002,0, 334, -237590.33243834972
38502,0, 336, -247082.52690410614
39002,0, 338, -246309.67320936918
39502,0, 342, -230833.3279850483
40002,0, 344, -238801.87202453613
40502,0, 349, -244434.94407311082
41002,0, 353, -236194.7415881753
41502,0, 359, -242358.93030500412
42002,0, 367, -243311.05203312635
42502,0, 371, -243622.6766809821
43002,0, 377, -257500.14952111244
43502,0, 387, -245272.98495590687
44002,0, 391, -242007.91324484348
44502,0, 394, -238350.232681036
45002,0, 398, -229763.2954670936
45502,0, 400, -250118.26648327708
46002,0, 403, -245157.081717968
46502,0, 404, -244291.52077662945
47002,0, 409, -263477.6436548233
47502,0, 414, -254077.9448094368
48002,0, 416, -229766.12682905793
48502,0, 422, -225195.8782401085
49002,0, 425, -250943.14469099045
49502,0, 434, -262954.29106867313
50002,0, 436, -263742.48862326145
