step, arrivals_sum, infringement_sum 
2,0, 1
502,0, 12
1002,0, 16
1502,0, 21
2002,0, 24
2502,0, 29
3002,0, 33
3502,0, 34
4002,0, 35
4502,0, 40
5002,0, 44
5502,0, 48
6002,0, 53
6502,0, 59
7002,0, 68
7502,0, 71
8002,1, 77
8502,1, 79
9002,1, 84
9502,1, 89
10002,1, 96
10502,1, 100
11002,1, 107
11502,1, 107
12002,1, 112
12502,1, 116
13002,1, 119
13502,1, 125
14002,1, 131
14502,1, 135
15002,1, 137
15502,1, 139
16002,1, 140
16502,1, 145
17002,1, 150
17502,1, 157
18002,1, 164
18502,1, 166
19002,1, 171
19502,1, 176
20002,1, 180
20502,1, 183
21002,1, 191
21502,1, 199
22002,1, 203
22502,1, 208
23002,1, 211
23502,1, 220
24002,1, 228
24502,1, 237
25002,1, 250
25502,1, 268
26002,1, 283
26502,1, 297
27002,1, 310
27502,1, 330
28002,1, 343
28502,1, 355
29002,1, 368
29502,1, 386
30002,1, 401
30502,1, 417
31002,1, 426
31502,1, 441
32002,1, 457
32502,1, 470
33002,1, 484
33502,1, 501
34002,1, 515
34502,1, 527
35002,1, 541
35502,1, 557
36002,1, 570
36502,1, 581
37002,1, 590
37502,1, 599
38002,1, 607
38502,1, 617
39002,1, 630
39502,1, 642
40002,1, 650
40502,1, 658
41002,1, 662
41502,1, 663
42002,1, 665
42502,1, 674
43002,1, 681
43502,1, 691
44002,1, 703
44502,1, 713
45002,1, 726
45502,1, 741
46002,1, 755
46502,1, 764
47002,1, 776
47502,1, 786
48002,1, 796
48502,1, 805
49002,2, 811
49502,3, 818
50002,3, 818
50502,3, 821
51002,3, 826
51502,4, 829
52002,6, 832
52502,6, 835
53002,8, 835
53502,9, 837
54002,9, 839
54502,9, 842
55002,10, 845
55502,11, 848
56002,11, 849
56502,12, 852
57002,12, 856
57502,13, 859
58002,13, 860
58502,13, 863
59002,14, 863
59502,16, 863
60002,17, 863
60502,17, 863
61002,18, 863
61502,18, 863
