step, arrivals_sum, infringement_sum 
2,0, 1
502,0, 4
1002,0, 9
1502,0, 13
2002,0, 18
2502,0, 22
3002,0, 29
3502,0, 36
4002,0, 38
4502,0, 44
5002,0, 47
5502,0, 47
6002,0, 57
6502,1, 63
7002,1, 65
7502,1, 69
8002,2, 75
8502,2, 79
9002,2, 84
9502,2, 87
10002,2, 88
10502,3, 94
11002,3, 96
11502,3, 98
12002,3, 107
12502,3, 114
13002,3, 117
13502,3, 122
14002,4, 124
14502,4, 127
15002,5, 131
15502,5, 135
16002,5, 139
16502,5, 143
17002,5, 152
17502,5, 166
18002,6, 179
18502,6, 193
19002,6, 200
19502,6, 205
20002,6, 214
20502,6, 219
21002,6, 235
21502,6, 241
22002,6, 247
22502,6, 251
23002,6, 258
23502,6, 261
24002,6, 265
24502,6, 269
25002,6, 273
25502,6, 281
26002,6, 283
26502,6, 292
27002,6, 299
27502,6, 300
28002,7, 305
28502,7, 312
29002,9, 318
29502,9, 327
30002,10, 333
30502,10, 340
31002,10, 345
31502,10, 349
32002,10, 354
32502,10, 361
33002,10, 362
33502,10, 368
34002,10, 372
34502,10, 380
35002,10, 383
35502,10, 386
36002,11, 397
36502,11, 405
37002,11, 413
37502,12, 415
38002,12, 419
38502,12, 425
39002,12, 432
39502,12, 439
40002,13, 458
40502,13, 473
41002,13, 485
41502,13, 494
42002,13, 511
42502,13, 526
43002,14, 545
43502,16, 558
44002,18, 577
44502,19, 590
45002,20, 603
45502,20, 617
46002,21, 630
46502,21, 646
47002,21, 656
47502,23, 672
48002,23, 686
48502,25, 701
49002,27, 715
49502,28, 730
50002,30, 747
50502,34, 765
51002,34, 784
51502,34, 802
52002,34, 822
52502,34, 839
53002,35, 857
53502,36, 873
54002,40, 888
54502,42, 907
55002,42, 922
55502,42, 942
56002,43, 959
56502,44, 977
57002,46, 993
57502,46, 1005
58002,48, 1018
58502,50, 1029
59002,50, 1038
59502,53, 1046
60002,56, 1059
60502,56, 1069
61002,58, 1079
61502,59, 1085
62002,59, 1099
62502,61, 1111
63002,63, 1119
63502,64, 1129
64002,64, 1142
64502,64, 1152
65002,65, 1160
65502,67, 1170
66002,67, 1176
66502,68, 1185
67002,69, 1192
67502,69, 1196
68002,69, 1205
68502,71, 1213
69002,71, 1228
69502,71, 1235
70002,72, 1250
70502,73, 1262
71002,73, 1273
71502,74, 1284
72002,75, 1293
72502,75, 1300
73002,76, 1303
73502,77, 1310
74002,77, 1314
74502,77, 1319
75002,78, 1325
75502,78, 1330
76002,79, 1339
76502,79, 1341
77002,80, 1350
77502,82, 1353
78002,83, 1360
78502,83, 1362
79002,84, 1368
79502,85, 1370
80002,85, 1374
80502,85, 1375
81002,85, 1381
81502,87, 1386
82002,89, 1388
82502,90, 1394
83002,90, 1396
83502,91, 1398
84002,91, 1399
84502,91, 1401
85002,92, 1404
85502,95, 1406
86002,96, 1411
86502,98, 1415
87002,98, 1420
87502,98, 1422
88002,100, 1423
88502,100, 1424
89002,100, 1427
89502,100, 1429
90002,100, 1431
90502,100, 1435
91002,101, 1437
91502,101, 1440
92002,103, 1442
92502,104, 1444
93002,105, 1446
93502,106, 1448
94002,107, 1448
94502,107, 1449
95002,107, 1449
95502,108, 1451
96002,109, 1452
96502,109, 1453
97002,111, 1455
97502,114, 1457
98002,114, 1458
98502,116, 1459
99002,117, 1459
99502,120, 1460
100002,121, 1465
100502,121, 1466
101002,121, 1466
101502,122, 1466
102002,123, 1467
102502,124, 1469
103002,126, 1472
103502,127, 1473
104002,131, 1476
104502,132, 1479
105002,133, 1483
105502,134, 1486
106002,136, 1490
106502,138, 1491
107002,139, 1492
107502,140, 1493
108002,142, 1494
108502,147, 1499
109002,152, 1502
109502,154, 1505
110002,157, 1508
110502,160, 1512
111002,162, 1513
111502,165, 1513
112002,166, 1515
112502,169, 1517
113002,171, 1520
113502,176, 1522
114002,179, 1523
114502,182, 1524
115002,194, 1525
115502,199, 1527
116002,203, 1530
116502,208, 1530
117002,212, 1532
117502,219, 1534
118002,223, 1536
118502,230, 1540
119002,237, 1544
119502,240, 1548
120002,253, 1549
120502,266, 1553
121002,272, 1561
121502,280, 1563
122002,286, 1570
122502,290, 1572
123002,294, 1573
123502,301, 1581
124002,307, 1583
124502,314, 1585
125002,319, 1587
125502,334, 1589
126002,341, 1592
126502,351, 1593
127002,356, 1596
127502,366, 1601
128002,375, 1604
128502,385, 1609
129002,394, 1611
129502,403, 1611
130002,413, 1613
130502,423, 1615
131002,431, 1618
131502,443, 1620
132002,451, 1622
132502,465, 1625
133002,474, 1629
133502,480, 1631
134002,490, 1634
134502,502, 1638
135002,516, 1640
135502,531, 1640
136002,540, 1640
136502,556, 1645
137002,569, 1646
137502,577, 1649
138002,586, 1649
138502,601, 1650
139002,617, 1652
139502,631, 1655
140002,642, 1657
140502,653, 1662
141002,664, 1663
141502,676, 1666
142002,690, 1671
142502,705, 1674
143002,722, 1678
143502,737, 1680
144002,752, 1681
144502,772, 1686
145002,788, 1690
145502,800, 1691
146002,814, 1694
146502,829, 1697
147002,842, 1699
147502,856, 1703
148002,869, 1704
148502,881, 1708
149002,893, 1709
149502,908, 1715
150002,920, 1716
150502,929, 1718
151002,943, 1721
151502,953, 1725
152002,968, 1729
152502,982, 1734
153002,996, 1736
153502,1012, 1738
154002,1023, 1740
154502,1040, 1744
155002,1057, 1746
155502,1073, 1749
156002,1093, 1751
156502,1102, 1751
157002,1120, 1752
157502,1140, 1753
158002,1155, 1761
158502,1172, 1765
159002,1189, 1768
159502,1200, 1768
160002,1214, 1769
160502,1233, 1774
161002,1247, 1777
161502,1263, 1780
162002,1282, 1783
162502,1306, 1787
163002,1323, 1792
163502,1340, 1792
164002,1358, 1797
164502,1372, 1799
165002,1390, 1802
165502,1408, 1802
166002,1428, 1803
166502,1447, 1804
167002,1466, 1806
167502,1480, 1810
168002,1502, 1814
168502,1517, 1815
169002,1537, 1816
169502,1550, 1816
170002,1563, 1819
170502,1578, 1821
171002,1596, 1823
171502,1613, 1823
172002,1630, 1825
172502,1637, 1828
173002,1664, 1829
173502,1681, 1832
174002,1709, 1835
174502,1729, 1836
175002,1747, 1838
175502,1768, 1841
176002,1784, 1844
176502,1800, 1847
177002,1818, 1850
177502,1835, 1851
178002,1859, 1853
178502,1875, 1854
179002,1893, 1855
179502,1914, 1856
180002,1930, 1860
180502,1947, 1863
181002,1968, 1864
181502,1985, 1866
182002,1999, 1869
182502,2022, 1871
183002,2035, 1874
183502,2054, 1877
184002,2069, 1878
184502,2098, 1882
185002,2125, 1885
185502,2147, 1885
186002,2173, 1888
186502,2196, 1889
187002,2218, 1893
187502,2234, 1897
188002,2249, 1899
188502,2269, 1901
189002,2294, 1903
189502,2309, 1906
190002,2325, 1909
190502,2346, 1909
191002,2364, 1909
191502,2383, 1911
192002,2400, 1914
192502,2422, 1916
193002,2438, 1919
193502,2460, 1921
194002,2481, 1922
194502,2504, 1924
195002,2522, 1928
195502,2540, 1934
196002,2560, 1939
196502,2578, 1944
197002,2597, 1949
197502,2611, 1950
198002,2631, 1950
198502,2651, 1952
199002,2671, 1952
199502,2694, 1957
200002,2719, 1960
200502,2741, 1961
201002,2764, 1966
201502,2787, 1975
202002,2814, 1980
202502,2833, 1985
203002,2857, 1989
203502,2875, 1990
204002,2896, 1992
204502,2920, 1993
205002,2946, 1993
205502,2967, 1996
206002,2996, 1997
206502,3019, 2000
207002,3047, 2004
207502,3065, 2010
208002,3082, 2017
208502,3100, 2021
209002,3122, 2026
209502,3141, 2030
210002,3169, 2032
210502,3204, 2035
211002,3240, 2036
211502,3268, 2036
212002,3304, 2038
212502,3331, 2038
213002,3358, 2044
213502,3387, 2046
214002,3415, 2049
214502,3442, 2050
215002,3461, 2054
215502,3488, 2056
216002,3512, 2059
216502,3532, 2062
217002,3561, 2064
217502,3590, 2067
218002,3616, 2068
218502,3644, 2068
219002,3667, 2071
219502,3700, 2073
220002,3730, 2077
220502,3754, 2080
221002,3780, 2082
221502,3811, 2084
222002,3838, 2089
222502,3867, 2092
223002,3893, 2098
223502,3914, 2105
224002,3936, 2107
224502,3962, 2111
225002,3992, 2113
225502,4021, 2116
226002,4042, 2118
226502,4065, 2118
227002,4096, 2118
227502,4125, 2119
228002,4158, 2119
228502,4190, 2120
229002,4214, 2121
229502,4248, 2123
230002,4286, 2126
230502,4324, 2128
231002,4353, 2133
231502,4392, 2136
232002,4424, 2139
232502,4461, 2142
233002,4494, 2149
233502,4526, 2155
234002,4563, 2161
234502,4598, 2167
235002,4625, 2174
235502,4648, 2175
236002,4682, 2182
236502,4712, 2184
237002,4747, 2186
237502,4779, 2187
238002,4823, 2190
238502,4857, 2191
239002,4887, 2193
239502,4916, 2198
240002,4950, 2203
240502,4990, 2205
