step, arrivals_sum, infringement_sum 
2,0, 1
502,0, 6
1002,0, 9
1502,0, 15
2002,0, 18
2502,0, 22
3002,0, 30
3502,0, 33
4002,0, 40
4502,0, 45
5002,0, 47
5502,0, 52
6002,0, 62
6502,0, 63
7002,0, 65
7502,0, 68
8002,0, 72
8502,0, 79
9002,0, 83
9502,1, 85
10002,1, 90
10502,2, 95
11002,2, 98
11502,2, 104
12002,2, 107
12502,2, 109
13002,2, 114
13502,2, 124
14002,3, 128
14502,3, 133
15002,3, 137
15502,3, 141
16002,3, 144
16502,4, 149
17002,4, 152
17502,4, 156
18002,5, 159
18502,5, 161
19002,5, 169
19502,5, 172
20002,5, 176
20502,5, 181
21002,5, 185
21502,5, 191
22002,5, 200
22502,5, 207
23002,5, 213
23502,5, 214
24002,5, 222
24502,5, 228
25002,5, 234
25502,5, 241
26002,5, 246
26502,5, 249
27002,5, 253
27502,5, 255
28002,5, 257
28502,5, 261
29002,5, 264
29502,6, 266
30002,6, 270
30502,7, 273
31002,7, 274
31502,7, 279
32002,7, 285
32502,7, 293
33002,7, 303
33502,7, 315
34002,7, 326
34502,8, 335
35002,9, 344
35502,9, 354
36002,9, 366
36502,9, 374
37002,11, 383
37502,13, 398
38002,13, 414
38502,13, 423
39002,13, 430
39502,13, 437
40002,13, 447
40502,15, 457
41002,16, 465
41502,18, 473
42002,19, 478
42502,20, 484
43002,21, 486
43502,22, 489
44002,24, 491
44502,24, 495
45002,24, 502
45502,25, 506
46002,27, 524
46502,27, 531
47002,29, 540
47502,29, 551
48002,30, 565
48502,31, 578
49002,32, 584
49502,33, 598
50002,33, 611
50502,34, 622
51002,35, 632
51502,37, 646
52002,38, 657
52502,38, 669
53002,40, 679
53502,41, 688
54002,44, 698
54502,44, 707
55002,46, 716
55502,47, 725
56002,47, 730
56502,47, 735
57002,52, 745
57502,53, 752
58002,56, 754
58502,59, 758
59002,59, 765
59502,63, 772
60002,67, 776
60502,68, 783
61002,68, 790
61502,70, 797
62002,71, 806
62502,73, 812
63002,73, 819
63502,76, 824
64002,77, 831
64502,79, 836
65002,80, 842
65502,81, 848
66002,82, 853
66502,86, 855
67002,89, 858
67502,90, 859
68002,92, 860
68502,93, 861
69002,96, 862
69502,96, 862
70002,99, 865
70502,100, 866
71002,100, 867
71502,101, 869
72002,103, 870
72502,106, 872
73002,108, 872
73502,110, 873
74002,112, 873
74502,113, 874
75002,113, 874
75502,113, 874
76002,115, 874
76502,118, 874
77002,120, 876
77502,121, 877
78002,122, 877
78502,124, 880
79002,128, 880
79502,129, 882
80002,134, 884
80502,134, 885
81002,135, 886
81502,136, 888
82002,136, 889
82502,138, 891
83002,140, 892
83502,140, 892
84002,143, 892
84502,145, 893
85002,146, 894
85502,149, 894
86002,151, 894
86502,152, 894
87002,153, 894
87502,153, 894
88002,154, 894
88502,160, 894
89002,163, 894
89502,165, 894
90002,165, 895
90502,166, 895
91002,168, 896
91502,170, 896
92002,172, 896
92502,172, 898
93002,174, 898
93502,175, 898
94002,175, 899
94502,177, 899
95002,178, 901
95502,179, 903
96002,180, 906
96502,181, 909
97002,185, 913
97502,188, 916
98002,191, 920
98502,193, 924
99002,195, 930
99502,199, 931
100002,202, 934
100502,204, 935
101002,207, 937
101502,210, 937
102002,211, 937
102502,212, 937
103002,213, 939
103502,214, 939
104002,220, 940
104502,222, 940
105002,225, 942
105502,229, 943
106002,233, 943
106502,236, 943
107002,237, 944
107502,244, 946
108002,247, 947
108502,252, 948
109002,256, 948
109502,262, 949
110002,265, 949
110502,270, 949
111002,277, 949
111502,284, 951
112002,293, 952
112502,302, 952
113002,308, 955
113502,314, 956
114002,323, 959
114502,327, 964
115002,328, 965
115502,338, 965
116002,344, 966
116502,349, 968
117002,354, 969
117502,357, 969
118002,364, 972
118502,372, 975
119002,379, 978
119502,385, 982
120002,388, 982
120502,392, 984
121002,401, 984
121502,405, 984
122002,412, 984
122502,416, 984
123002,424, 984
123502,430, 988
124002,437, 988
124502,439, 990
125002,446, 991
125502,452, 991
126002,456, 991
126502,459, 991
127002,467, 991
127502,473, 992
128002,481, 996
128502,483, 1001
129002,493, 1005
129502,501, 1009
