step, arrivals_sum, infringement_sum, reward ,av arr,av inf
2,0,2,-21892.282201767,0,1
502,0,40,-1764701.46523082,0,0.0796812749003984
1002,0,55,-840034.510016382,0,0.0548902195608782
1502,0,72,-1159555.92507741,0,0.0479360852197071
2002,0,93,-1157163.62103605,0,0.0464535464535465
2502,0,93,-700468.977569521,0,0.0371702637889688
3002,0,108,-1273116.52723628,0,0.0359760159893404
3502,0,123,-983679.651365995,0,0.0351227869788692
4002,0,132,-824883.4242782,0,0.0329835082458771
4502,0,180,-1755714.58281565,0,0.0399822301199467
5002,0,192,-1361444.27417421,0,0.0383846461415434
5502,0,480,-7478429.66611099,0,0.0872410032715376
6002,0,612,-3864460.91431171,0,0.101966011329557
6502,0,623,-938066.289827049,0,0.0958166717932944
7002,0,711,-2951075.63970575,0,0.101542416452442
7502,0,793,-2305895.8054122,0,0.105705145294588
8002,0,849,-1406632.25929194,0,0.106098475381155
8502,0,870,-686109.283401787,0,0.102328863796754
9002,0,908,-1075703.63749041,0,0.100866474116863
9502,0,970,-1548935.03175658,0,0.102083771837508
10002,0,1031,-1564367.80016232,0,0.103079384123175
10502,0,1091,-1508228.90795803,0,0.103884974290611
11002,0,1150,-1438071.05287004,0,0.104526449736412
11502,0,1191,-1102301.00284301,0,0.103547209181012
12002,0,1258,-1571317.33833594,0,0.104815864022663
12502,0,1344,-2045262.97293511,0,0.107502799552072
13002,0,1374,-805425.711894795,0,0.105676049838486
13502,0,1419,-1169426.92112076,0,0.105095541401274
14002,0,1452,-916872.251562029,0,0.103699471504071
14502,0,1506,-1462968.64811718,0,0.103847745138602
15002,0,1595,-2074728.91532812,0,0.106319157445674
15502,0,1726,-2978920.02165684,0,0.111340472197136
16002,0,1831,-2409949.26482031,0,0.114423197100362
16502,0,1875,-1119236.80410969,0,0.113622591201067
17002,0,1939,-1559696.69953129,0,0.114045406422774
17502,0,1986,-1206328.73971519,0,0.113472745971889
18002,0,2046,-1486676.63798472,0,0.113654038440173
18502,0,2109,-1534983.27206858,0,0.113987677007891
19002,0,2176,-1637953.81790547,0,0.114514261656668
19502,0,2311,-3084784.87808962,0,0.118500666598298
20002,0,2335,-693292.59198755,0,0.116738326167383
20502,0,2480,-3380980.54967329,0,0.120963808408936
21002,0,2541,-1592934.17068669,0,0.120988477287877
21502,0,2599,-1462406.19254001,0,0.120872476978886
22002,0,2640,-1118025.15334117,0,0.119989091900736
22502,0,2664,-803005.708365619,0,0.118389476490979
23002,0,2683,-664718.195383072,0,0.116642031127728
23502,0,2701,-672803.245550752,0,0.114926389243469
24002,0,2735,-945401.352659315,0,0.113948837596867
24502,0,2759,-784109.805316776,0,0.112603052812015
25002,0,2802,-1152491.79814249,0,0.112071034317255
25502,0,2832,-890551.32312128,0,0.111050113716571
26002,0,2859,-816867.022514075,0,0.109953080532267
26502,0,2917,-1563539.46872985,0,0.110067164742284
27002,0,2925,-424581.359885931,0,0.108325309236353
27502,0,2931,-439458.584352911,0,0.106574067340557
28002,0,2937,-435140.541006535,0,0.104885365331048
28502,0,2992,-1472679.9827252,0,0.104975089467406
29002,0,3003,-512104.613645017,0,0.103544583132198
29502,0,3011,-505503.71343255,0,0.102060877228662
30002,0,3019,-399720.261287659,0,0.100626624891674
30502,0,3028,-491147.368548512,0,0.0992721788735165
31002,0,3035,-455706.327862322,0,0.0978969098767821
31502,0,3052,-703032.602172762,0,0.0968827376039617
32002,0,3062,-485797.409841001,0,0.0956815199050059
32502,0,3068,-392419.207211256,0,0.0943941911266999
33002,0,3079,-511575.339388192,0,0.0932973759166111
33502,0,3081,-278127.429912209,0,0.0919646588263387
34002,0,3081,-248993.622742862,0,0.090612316922534
34502,0,3093,-435090.995910041,0,0.0896469769868413
35002,0,3093,-158047.574147195,0,0.0883663790640535
35502,0,3099,-350028.152334511,0,0.087290856853135
36002,0,3112,-480991.760225773,0,0.0864396422420977
36502,0,3112,-155650.069006935,0,0.0852556024327434
37002,0,3125,-436118.717146158,0,0.0844548943300362
37502,0,3132,-328248.828747183,0,0.0835155458375553
38002,0,3132,-178049.720549271,0,0.0824167149097416
38502,0,3137,-291280.059860527,0,0.0814762869461327
39002,0,3142,-312330.64770852,0,0.0805599712835239
39502,0,3142,-165918.464312777,0,0.0795402764416992
40002,0,3142,-159784.995998949,0,0.0785460726963652
40502,0,3144,-243105.424326509,0,0.077625796256975
41002,0,3148,-269287.859053597,0,0.0767767425979221
41502,0,3148,-182963.297734529,0,0.0758517661799431
42002,0,3153,-261425.994036525,0,0.0750678539117185
42502,0,3156,-236775.972933725,0,0.0742553291609807
43002,0,3156,-178028.282117635,0,0.0733919352588252
43502,0,3156,-153307.313612148,0,0.0725483885798354
44002,0,3161,-264967.785044417,0,0.0718376437434662
44502,0,3161,-180867.395911157,0,0.0710305154824502
45002,0,3161,-188457.003855258,0,0.0702413226078841
45502,0,3162,-170144.233336017,0,0.0694914509252341
46002,0,3162,-141777.536566406,0,0.0687361419068736
46502,0,3162,-157550.352961004,0,0.0679970753946067
47002,0,3162,-160541.031190813,0,0.0672737330326369
47502,0,3162,-152240.456960946,0,0.0665656182897562
48002,0,3165,-206964.396453351,0,0.0659347527186367
48502,0,3165,-168225.275352418,0,0.0652550410292359
49002,0,3165,-203865.082009047,0,0.0645892004407983
