step, arrivals_sum, infringement_sum, reward ,arr,inf
2,0,2,-1810.46164226532,0,1
502,0,57,-349876.551263958,0,0.113545816733068
1002,0,65,-250716.765259057,0,0.0648702594810379
1502,0,79,-305322.853504121,0,0.0525965379494008
2002,0,107,-297129.658797324,0,0.0534465534465534
2502,0,119,-312375.385993481,0,0.0475619504396483
3002,0,130,-300195.306141198,0,0.0433044636908728
3502,0,174,-332132.273751259,0,0.0496858937749857
4002,0,192,-299036.046253681,0,0.047976011994003
4502,0,193,-314236.632927418,0,0.0428698356286095
5002,0,198,-298073.500106335,0,0.0395841663334666
5502,0,285,-423869.698886097,0,0.0517993456924755
6002,0,359,-403934.496585667,0,0.0598133955348217
6502,0,387,-339171.530286551,0,0.0595201476468779
7002,0,718,-654933.668780029,0,0.102542130819766
7502,0,839,-432484.559262127,0,0.111836843508398
8002,0,866,-292090.845080256,0,0.108222944263934
8502,0,872,-286448.058259428,0,0.102564102564103
9002,0,875,-244767.86069262,0,0.0972006220839813
9502,0,899,-271687.84846428,0,0.0946116607030099
10002,0,899,-234109.136117697,0,0.0898820235952809
10502,0,924,-267911.827614576,0,0.0879832412873738
11002,0,994,-314060.835153758,0,0.0903472095982549
11502,0,1017,-223145.922587544,0,0.0884194053208138
12002,0,1070,-279804.55036059,0,0.0891518080319947
12502,0,1182,-339179.568897277,0,0.0945448728203487
13002,0,1266,-292460.551093847,0,0.0973696354407014
13502,0,1336,-264161.470741615,0,0.0989483039549696
14002,0,1379,-230937.155149817,0,0.0984859305813455
14502,0,1414,-240183.630762219,0,0.0975037925803338
15002,0,1479,-278599.026524484,0,0.0985868550859885
15502,0,1669,-384174.072407752,0,0.107663527286802
16002,0,1848,-387795.091604352,0,0.115485564304462
16502,0,1983,-334416.632027429,0,0.120167252454248
17002,0,2054,-282879.778117478,0,0.120809316550994
17502,0,2169,-316682.50978297,0,0.123928693863558
18002,0,2241,-240118.516668126,0,0.124486168203533
18502,0,2440,-405996.03218694,0,0.131877634850286
